"Ateneo
(categoria)";"Nome corso
(h1 post type corsi.di.laurea)";"slug
del post ""tipo + classe + nome CORSO + ateneo""";"Area di Studio
(term di tax area studio)";"Tipo
(term tax tipologia)";"Classe
(term di tax classe)";"Nome Classe
(descrizione di term tax classe)";"Note
attributo del post corso di laurea";"Costo
attributo di post corsi di laurea";"Curricula
(termini multipli di tassonomia curricula)";"Durata
attributo tax tipologia";"CFU
attributo del post"
8. Mercatorum;Scienze Giuridiche;;Giurisprudenza;Laurea triennale;L-14;Scienze dei servizi giuridici;;3.000,00 €;;3 anni;180
4. Unitelma;Management delle organizzazioni pubbliche e sanitarie;;Giuridica;Laurea magistrale;LM-63;Scienze delle Pubbliche Amministrazioni;;;"""Management ed e-government delle Aziende Pubbliche"",""Management delle Aziende Sanitarie"",""Management delle Autonomie Territoriali""";2 Anni;120
4. Unitelma;Economia, Management e Innovazione;;Economica;Laurea magistrale;LM-77;Scienze economico-aziendali;;;"""Economia e Management Aziendale"",""Economia, Tecnologia, Innovazione"",""Economy, Technology, Innovation"",""Economia, Finanza e Banca"",""Economia e Sostenibilità""

";2 Anni;120
8. Mercatorum;Comunicazione e Multimedialità;;Scienze della Comunicazione;Laurea triennale;L-20;Scienze della Comunicazione;;;;3 anni;180
8. Mercatorum;Comunicazione e Multimedialità;;-;Laurea triennale;L-20;Scienze della Comunicazione;;3.000,00 €;;3 anni;180
8. Mercatorum;Scienze e tecniche psicologiche;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;3.000,00 €;;3 anni;180
8. Mercatorum;Scienze Politiche e Relazioni Internazionali;;Scienze Politiche;Laurea triennale;L-36;Scienze Politiche e delle Relazioni Internazionali;;;;3 anni;180
8. Mercatorum;Scienze Politiche e Relazioni Internazionali;;Psicologia;Laurea triennale;L-36;Scienze Politiche e delle Relazioni Internazionali;;3.000,00 €;;3 anni;180
8. Mercatorum;Sociologia e Innovazione;;;Laurea triennale;L-40;Sociologia;;;;3 anni;180
8. Mercatorum;Sociologia e Innovazione;;-;Laurea triennale;L-40;Sociologia;;3.000,00 €;;3 anni;180
8. Mercatorum;Gastronomia, Ospitalità e Territori (Nutrizione Umana);;-;Laurea triennale;L-Gastr;Scienze, culture e politiche della gastronomia;;;;3 anni;180
